0000.020|RX|UserTorque(Nm)|Velocity(rad)|Position(mm)|Position(rad)|Roller|Cell1|Cell2|TX|CmdTorque|EccOverload|EasyStart|Inertia|Friction|Vel_H|Vel_L|ViscoConc|ViscoEcc
0000.030|RX|6,44|-0,72|288,75|3,53|11|0,07|0,07|TX|16,24|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
0000.050|RX|6,90|-0,71|289,91|3,55|11|0,07|0,07|TX|16,24|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
0000.070|RX|7,03|-0,70|291,04|3,56|11|0,07|0,07|TX|16,24|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
0000.090|RX|6,79|-0,69|292,19|3,57|11|0,07|0,07|TX|16,31|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
0000.110|RX|6,40|-0,67|293,31|3,59|11|0,07|0,07|TX|16,31|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
0000.129|RX|5,99|-0,67|294,38|3,60|11|0,07|0,07|TX|16,31|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
0000.149|RX|5,70|-0,66|295,46|3,61|11|0,07|0,07|TX|16,31|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
0000.169|RX|5,81|-0,66|296,49|3,63|11|0,07|0,07|TX|16,31|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
0000.189|RX|6,23|-0,66|297,53|3,64|11|0,07|0,07|TX|16,31|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
0000.211|RX|6,56|-0,65|298,59|3,65|11|0,07|0,07|TX|16,31|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
0000.229|RX|6,53|-0,65|299,63|3,67|11|0,07|0,07|TX|16,31|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
0000.251|RX|6,27|-0,63|300,67|3,68|11|0,07|0,07|TX|16,39|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
0000.270|RX|6,06|-0,62|301,71|3,69|11|0,07|0,07|TX|16,39|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
0000.290|RX|5,91|-0,61|302,72|3,70|11|0,07|0,07|TX|16,39|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
0000.310|RX|5,83|-0,61|303,69|3,71|11|0,07|0,07|TX|16,39|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
0000.330|RX|5,81|-0,60|304,66|3,73|11|0,07|0,07|TX|16,39|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
0000.350|RX|6,06|-0,60|305,60|3,74|11|0,07|0,07|TX|16,39|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
0000.369|RX|6,22|-0,60|306,55|3,75|11|0,07|0,07|TX|16,39|0,00|4,89|0,70|0,30|20,00|-20,00|0,00|-0,00
